Q1;Q2;Q3;Q4;Q16;Q17;Q14;Q5;Q28;Q6;Q7;Q9;Q15;Q10;Q12;Q18;Q18_4_TEXT;Q24_1;Q24_2;Q24_3;Q24_4;Q26_1;Q26_2;Q26_3;Q26_4;Q21;Q22_1;Q22_2;Q22_3;Q22_4;Q22_5;Q22_6;Q22_7;Q22_8;Q22_9;Q22_10;Q22_11;Q22_12;Q22_13;Q23_1;Q23_2;Q23_3;Q23_4;Q23_5;Q23_6;Q23_7;Q23_8;Q23_9;Q23_10;Q23_11;Q23_12;Q23_13;Q23_14;Q23_15;Q23_16;Q23_17;Q23_18;Q23_19;Q23_20;Q27_1;Q27_2;Q27_3;Q27_4;Q27_5;Q27_6;Q27_7;Q27_8;Q27_9;Q27_10;Q29_1;Q29_2;Q29_3;Q29_4;Q29_5;Q29_6;Q29_7;Q29_8;Q29_9;Q29_10;Q29_11;Q29_12;Q29_13;Q29_14;Q29_15;Q29_16;Q29_17;Q29_18;Q29_19;Q29_20;Q29_21;Q29_22;Q29_23;Q29_24;Q29_25;Q29_26;Q29_27;Q29_28;Q29_29;Q29_30;Q29_31;Q29_32;Q29_33;Q29_34;Q29_35;Q29_36;Q29_37;Q29_38;Q29_39;Q29_40;Q29_41;Q29_42;Q29_43;Q29_44;Q29_45;Q29_46;Q29_47;Q29_48;Q29_49;Q29_50;Q29_51;Q29_52;Q29_53;Q29_54;Q29_55;Q29_56;Q29_57;Q29_58;Q29_59;Q29_60
CA;Female;18;Other;Índia;2;;Asia;Mallorcan;Arxiduc;Secondary studies or equivalent;Student;Semi-Private;Between 20,200 and 35,199 EUR;Center-Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;More Catalan than Spanish (75%);Catalan only (100%);N/A;N/A;Catalan and Spanish (50%);More Catalan than Spanish (75%);N/A;More Catalan than Spanish (75%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);N/A;More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);N/A;More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);N/A;More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan only (100%);Catalan and Spanish (50%);Both languages;Both languages;Catalan;Both languages;Both languages;Catalan;Both languages;Both languages;Both languages;Catalan;100;100;100;90;100;60;100;50;100;100;100;30;100;70;100;2;100;100;100;10;80;0;0;0;0;60;30;100;50;0;0;0;0;40;40;10;10;100;100;50;90;71;0;80;50;50;20;20;40;40;40;50;50;31;50;100;0;7;15;50
ES-ES;Male;34;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Spanish,European;El Rafal Nou;Professional Training;Full-time employment;;Between 35,200 and 59,999 EUR;Center-Right;Spanish;;Well;Well;Well;With difficulty;Well;Well;Well;Well;2;Catalan and Spanish (50%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);N/A;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;40;50;19;80;24;100;11;4;14;100;6;100;65;100;80;26;100;13;63;16;15;7;15;10;10;10;15;19;11;14;13;12;15;100;20;8;100;27;100;100;15;10;19;17;13;100;28;100;55;35;11;100;11;100;6;100;9;13;11;9
ES-ES;Female;34;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Spanish,European;L'Olivera;University studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Center-Right;Other(s);Alemán ;Well;Well;Well;Well;Well;Well;Well;Well;2;More Spanish than Catalan (75%);Others;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Others;More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Spanish;Both languages;50;50;100;100;100;100;5;6;100;100;100;100;100;100;100;6;100;5;50;100;6;7;0;7;7;50;50;100;100;4;6;5;6;6;7;50;100;100;100;58;50;50;0;6;5;5;50;6;27;6;5;5;3;5;50;50;6;5;5;100
ES-ES;Male;37;Spain;;;Balearic islands;Western Europe;Spanish;La indioteria (Rural);Professional Training;Full-time employment;;Between 35,200 and 59,999 EUR;Center-Left;Both;;Well;Well;Well;Well;Well;Well;Well;Well;2;Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);N/A;Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;40;18;85;80;100;100;30;80;2;1;70;2;100;2;25;2;2;2;2;60;60;2;2;30;30;2;2;2;19;100;100;2;30;100;100;2;2;2;2;100;2;2;2;70;2;100;2;2;2;39;100;100;2;2;2;100
ES-ES;Male;38;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Spanish;El Coll d'en Rabassa;Primary studies or equivalent;Full-time employment;;Between 12,450 and 20,199 EUR;Left;Both;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;50;100;50;100;51;100;51;1;50;100;51;100;1;100;70;2;50;1;100;1;100;1;1;1;1;1;100;1;100;1;1;100;1;100;100;1;100;50;100;100;1;100;49;100;1;100;1;100;1;1;100;100;1;100;50;50;1;50;50;22
ES-ES;Male;20;Spain;;;Balearic islands;Western Europe;Balearic;Gènova;Secondary studies or equivalent;Student;Public;Between 12,450 and 20,199 EUR;Center-Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);N/A;Catalan and Spanish (50%);Catalan and Spanish (50%);N/A;More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);N/A;N/A;More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;100;100;0;0;100;100;100;100;100;100;61;16;0;49;51;0;0;0;0;0;0;20;8;46;46;0;0;0;0;0;0;0;0;0;0;9;41;41;0;41;40;44;8;14;44;45;40;27;30;17;17;100;18;3;17;15
ES-ES;Male;30;Spain;;;Balearic islands;Western Europe;Mallorcan,Balearic,Spanish;L'Arenal;Professional Training;Student;Public;Between 12,450 and 20,199 EUR;Left;Both;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);N/A;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan;Both languages;Both languages;Both languages;Both languages;Both languages;Catalan;Both languages;Spanish;Both languages;100;100;100;100;100;100;75;75;75;100;100;100;75;100;0;0;50;25;100;0;0;0;0;0;0;0;0;100;100;75;85;0;0;0;0;25;80;100;100;50;50;50;0;0;0;50;40;80;80;50;50;0;0;40;66;66;0;0;0;100
CA;Female;54;Spain;;;Balearic islands;Western Europe;Mallorcan,Spanish;Sant Jordi;Professional Training;Full-time employment;;Between 12,450 and 20,199 EUR;Left;Both;;Well;Well;Well;With difficulty;Well;Well;Well;Well;1;Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan;Catalan;Catalan;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Catalan;100;100;100;100;100;98;70;71;100;100;100;100;85;100;100;65;71;62;100;50;50;11;11;11;14;100;75;100;100;10;14;14;11;43;21;100;100;100;100;91;100;42;9;50;13;15;70;14;80;100;50;21;16;50;100;60;18;49;85;100
ES-ES;Female;27;Spain;;;Balearic islands;Western Europe;Mallorcan;El Mercat;University studies or equivalent;Unemployed;;Between 12,450 and 20,199 EUR;Left;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;1;More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);N/A;More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);N/A;Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);N/A;Catalan;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Catalan;100;100;100;100;100;86;40;39;100;100;100;100;100;100;91;0;100;82;80;0;0;0;0;0;0;100;0;100;0;0;0;0;0;50;50;69;61;88;86;0;100;47;0;0;70;0;81;76;78;50;49;0;0;0;90;20;93;0;90;86
ES-ES;Female;26;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Spanish;El Secar de la Real;University studies or equivalent;Full-time employment;;I prefer not to say;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Others;Catalan only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);N/A;More Spanish than Catalan (75%);More Spanish than Catalan (75%);Others;Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Spanish;Both languages;100;100;100;100;100;100;50;40;100;100;100;25;100;100;75;0;100;50;90;50;50;0;0;0;0;50;50;80;80;0;0;0;0;100;50;25;50;100;100;25;50;50;0;0;50;50;50;75;90;50;50;50;25;75;100;50;0;70;0;100
ES-ES;Female;55;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic;Amanecer;Professional Training;Full-time employment;;Between 35,200 and 59,999 EUR;Left;Spanish;;Well;Well;Well;With difficulty;Well;Well;Well;Well;1;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;90;90;90;90;50;50;50;40;90;90;25;90;90;90;25;92;100;50;75;90;20;10;10;31;31;50;50;0;0;0;0;0;0;0;0;0;50;100;100;0;0;0;0;0;0;100;90;0;90;0;0;50;0;51;51;0;0;100;0;50
ES-ES;Female;54;Spain;;;Balearic islands;Western Europe;Mallorcan;Verge de Lluc;University studies or equivalent;Full-time employment;;Between 60,000 and 299,999 EUR;Left;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Spanish only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan;Both languages;Both languages;Catalan;Catalan;Catalan;Both languages;Catalan;Both languages;Catalan;71;49;100;100;90;100;52;6;86;95;100;89;100;100;100;44;10;11;70;89;57;27;69;41;85;100;73;100;49;9;3;4;8;100;100;14;47;93;49;4;62;45;6;6;13;15;56;40;50;67;46;81;82;37;98;72;49;6;37;77
ES-ES;Female;62;Spain;;;Catalonia;Western Europe;Catalan;Sant Agustí;University studies or equivalent;Full-time employment;;Between 60,000 and 299,999 EUR;Center-Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);N/A;More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);More Spanish than Catalan (75%);Catalan;Both languages;Both languages;Both languages;Both languages;Catalan;Both languages;Catalan;Both languages;Both languages;100;30;100;32;100;29;0;0;100;100;100;0;100;100;100;0;100;0;100;0;100;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;50;100;100;0;100;20;0;100;0;0;0;100;50;100;0;0;0;80;98;100;0;0;100;100
ES-ES;Female;24;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Spanish,European;El Rafal Nou;University studies or equivalent;Unemployed;;Less than 12,450 EUR;Left;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;2;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Others;More Spanish than Catalan (75%);Catalan and Spanish (50%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Catalan than Spanish (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;60;90;70;100;20;100;75;65;65;65;30;100;70;100;17;40;100;30;60;65;85;50;60;65;55;50;50;70;70;30;40;20;0;0;0;20;50;50;80;20;50;75;85;85;50;70;30;80;80;40;70;0;0;80;50;20;0;0;85;50
ES-ES;Female;29;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Spanish;Plaça de Toros;Professional Training;Full-time employment;;Between 12,450 and 20,199 EUR;Center-Right;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;1;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);N/A;Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;100;100;50;50;100;100;50;100;100;100;13;0;100;50;100;0;13;13;15;15;15;50;50;100;100;16;22;21;21;18;13;100;100;100;100;15;100;100;11;12;14;100;12;100;11;15;15;14;15;100;13;16;13;15;18;12
CA;Female;24;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Catalan countries,Spanish,European;El Molinar;University studies or equivalent;Student;Public;Between 35,200 and 59,999 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);N/A;Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Spanish only (100%);N/A;Spanish only (100%);Catalan and Spanish (50%);Others;More Spanish than Catalan (75%);Spanish only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan only (100%);Spanish only (100%);Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;100;9;100;5;100;4;31;2;100;90;100;2;100;83;100;2;100;100;100;2;100;2;2;3;3;100;2;100;2;2;2;2;32;73;71;49;51;100;3;2;100;2;2;77;50;2;100;100;100;100;2;2;2;52;69;100;2;46;100;100
CA;Female;62;Spain;;;Balearic islands;Western Europe;Mallorcan,Catalan countries,Spanish,European;Bons Aires;University studies or equivalent;Retired;;Between 20,200 and 35,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Spanish than Catalan (75%);Catalan;Catalan;Both languages;Both languages;Both languages;Catalan;Catalan;Catalan;Catalan;Both languages;99;4;100;5;100;1;72;70;100;100;100;2;100;100;100;1;100;100;100;0;99;2;0;65;66;100;0;100;51;0;0;0;0;0;0;100;100;100;100;3;54;17;0;83;81;83;50;53;100;100;0;0;0;0;100;100;0;0;100;100
ES-ES;Female;60;Spain;;;Balearic islands;Western Europe;Mallorcan,Balearic,Catalan,Spanish;Plaça de Toros;Professional Training;Full-time employment;;Between 12,450 and 20,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan and Spanish (50%);N/A;Others;N/A;Catalan and Spanish (50%);Catalan only (100%);More Spanish than Catalan (75%);N/A;N/A;N/A;Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Spanish only (100%);More Spanish than Catalan (75%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);N/A;Catalan and Spanish (50%);Spanish only (100%);N/A;N/A;Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;100;100;100;100;100;100;99;95;100;100;100;13;100;70;77;8;13;12;10;10;13;49;30;100;83;1;0;0;0;2;4;68;63;100;100;100;56;100;0;0;0;2;0;0;100;100;63;4;100;4;100;4;4;4;4;100
CA;Female;59;Spain;;;Balearic islands;Western Europe;Palmesan;Arxiduc;University studies or equivalent;Full-time employment;;I prefer not to say;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;100;3;100;3;100;3;3;1;1;6;100;1;100;3;100;2;3;100;100;3;100;0;100;3;100;100;3;100;3;0;3;0;52;0;100;99;3;100;3;3;100;3;3;46;100;3;100;43;100;100;3;3;100;47;49;100;3;3;100;100
EN;Female;26;Other;Morocco;3;;Africa;Balearic;Plaça de Toros;University studies or equivalent;Student;Public;Between 12,450 and 20,199 EUR;Far left;Other(s);;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Others;Others;Spanish only (100%);Others;Catalan and Spanish (50%);Catalan and Spanish (50%);N/A;Others;More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Spanish only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Others;More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Both languages;Both languages;Catalan;Both languages;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;100;54;100;84;100;14;7;5;82;82;100;25;100;100;100;16;13;100;76;75;60;13;13;8;14;100;74;100;100;10;11;3;42;13;3;73;73;100;100;49;100;78;11;6;89;83;100;100;64;100;59;8;6;8;100;100;45;10;100;100
